Description,pvalue,cluster
GO:0006023_aminoglycan biosynthetic process,1,1
GO:0006024_glycosaminoglycan biosynthetic process,1,1
GO:0006059_hexitol metabolic process,1,1
GO:0006067_ethanol metabolic process,1,1
GO:0006069_ethanol oxidation,1,1
GO:0006076_(1->3)-beta-D-glucan catabolic process,1,1
GO:0006080_substituted mannan metabolic process,1,1
GO:0006084_acetyl-CoA metabolic process,1,1
GO:0006085_acetyl-CoA biosynthetic process,1,1
GO:0006086_acetyl-CoA biosynthetic process from pyruvate,1,1
GO:0006097_glyoxylate cycle,1,1
GO:0006098_pentose-phosphate shunt,1,1
GO:0006104_succinyl-CoA metabolic process,1,1
GO:0006105_succinate metabolic process,1,1
GO:0006107_oxaloacetate metabolic process,1,1
"GO:0006123_mitochondrial electron transport, cytochrome c to oxygen",1,1
GO:0006127_glycerophosphate shuttle,1,1
GO:0006177_GMP biosynthetic process,1,1
GO:0006188_IMP biosynthetic process,1,1
GO:0006189_'de novo' IMP biosynthetic process,1,1
GO:0006206_pyrimidine nucleobase metabolic process,1,1
GO:0006364_rRNA processing,1,1
GO:0006409_tRNA export from nucleus,1,1
GO:0006422_aspartyl-tRNA aminoacylation,1,1
GO:0006424_glutamyl-tRNA aminoacylation,1,1
GO:0006457_protein folding,1,1
GO:0006487_protein N-linked glycosylation,1,1
GO:0006491_N-glycan processing,1,1
GO:0006499_N-terminal protein myristoylation,1,1
GO:0006522_alanine metabolic process,1,1
GO:0006524_alanine catabolic process,1,1
GO:0006528_asparagine metabolic process,1,1
GO:0006529_asparagine biosynthetic process,1,1
GO:0006536_glutamate metabolic process,1,1
GO:0006541_glutamine metabolic process,1,1
GO:0006561_proline biosynthetic process,1,1
GO:0006564_L-serine biosynthetic process,1,1
GO:0006571_tyrosine biosynthetic process,1,1
GO:0006573_valine metabolic process,1,1
GO:0006577_amino-acid betaine metabolic process,1,1
GO:0006578_amino-acid betaine biosynthetic process,1,1
GO:0006580_ethanolamine metabolic process,1,1
GO:0006621_protein retention in ER lumen,1,1
GO:0006659_phosphatidylserine biosynthetic process,1,1
GO:0006692_prostanoid metabolic process,1,1
GO:0006693_prostaglandin metabolic process,1,1
GO:0006722_triterpenoid metabolic process,1,1
GO:0006739_NADP metabolic process,1,1
GO:0006740_NADPH regeneration,1,1
GO:0006754_ATP biosynthetic process,1,1
GO:0006808_regulation of nitrogen utilization,1,1
GO:0006809_nitric oxide biosynthetic process,1,1
GO:0006816_calcium ion transport,1,1
GO:0006835_dicarboxylic acid transport,1,1
GO:0006842_tricarboxylic acid transport,1,1
GO:0006862_nucleotide transport,1,1
GO:0006888_endoplasmic reticulum to Golgi vesicle-mediated transport,1,1
GO:0006949_syncytium formation,1,1
GO:0006983_ER overload response,1,1
GO:0007007_inner mitochondrial membrane organization,1,1
GO:0007018_microtubule-based movement,1,1
GO:0007199_G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger,1,1
GO:0007204_positive regulation of cytosolic calcium ion concentration,1,1
GO:0007215_glutamate receptor signaling pathway,1,1
GO:0007263_nitric oxide mediated signal transduction,1,1
GO:0007268_chemical synaptic transmission,1,1
GO:0007298_border follicle cell migration,1,1
GO:0007362_terminal region determination,1,1
GO:0007474_imaginal disc-derived wing vein specification,1,1
GO:0007492_endoderm development,1,1
GO:0007585_respiratory gaseous exchange by respiratory system,1,1
GO:0007638_mechanosensory behavior,1,1
GO:0008015_blood circulation,1,1
GO:0008277_regulation of G protein-coupled receptor signaling pathway,1,1
GO:0008586_imaginal disc-derived wing vein morphogenesis,1,1
GO:0008589_regulation of smoothened signaling pathway,1,1
GO:0008631_intrinsic apoptotic signaling pathway in response to oxidative stress,1,1
"GO:0009051_pentose-phosphate shunt, oxidative branch",1,1
"GO:0009052_pentose-phosphate shunt, non-oxidative branch",1,1
GO:0009060_aerobic respiration,1,1
GO:0009078_pyruvate family amino acid metabolic process,1,1
GO:0009080_pyruvate family amino acid catabolic process,1,1
GO:0009094_L-phenylalanine biosynthetic process,1,1
GO:0009142_nucleoside triphosphate biosynthetic process,1,1
GO:0009145_purine nucleoside triphosphate biosynthetic process,1,1
GO:0009201_ribonucleoside triphosphate biosynthetic process,1,1
GO:0009206_purine ribonucleoside triphosphate biosynthetic process,1,1
GO:0009228_thiamine biosynthetic process,1,1
GO:0009251_glucan catabolic process,1,1
GO:0009252_peptidoglycan biosynthetic process,1,1
GO:0009273_peptidoglycan-based cell wall biogenesis,1,1
GO:0009401_phosphoenolpyruvate-dependent sugar phosphotransferase system,1,1
GO:0009408_response to heat,1,1
GO:0009423_chorismate biosynthetic process,1,1
GO:0009446_putrescine biosynthetic process,1,1
GO:0009553_embryo sac development,1,1
GO:0009560_embryo sac egg cell differentiation,1,1
GO:0009625_response to insect,1,1
GO:0009631_cold acclimation,1,1
GO:0009638_phototropism,1,1
GO:0009643_photosynthetic acclimation,1,1
GO:0009645_response to low light intensity stimulus,1,1
GO:0009657_plastid organization,1,1
GO:0009658_chloroplast organization,1,1
GO:0009686_gibberellin biosynthetic process,1,1
GO:0009690_cytokinin metabolic process,1,1
GO:0009700_indole phytoalexin biosynthetic process,1,1
GO:0009704_de-etiolation,1,1
GO:0009714_chalcone metabolic process,1,1
GO:0009715_chalcone biosynthetic process,1,1
GO:0009727_detection of ethylene stimulus,1,1
GO:0009749_response to glucose,1,1
GO:0009756_carbohydrate mediated signaling,1,1
GO:0009759_indole glucosinolate biosynthetic process,1,1
"GO:0009765_photosynthesis, light harvesting",1,1
GO:0009767_photosynthetic electron transport chain,1,1
"GO:0009769_photosynthesis, light harvesting in photosystem II",1,1
GO:0009772_photosynthetic electron transport in photosystem II,1,1
GO:0009773_photosynthetic electron transport in photosystem I,1,1
GO:0009780_photosynthetic NADP+ reduction,1,1
GO:0009785_blue light signaling pathway,1,1
GO:0009821_alkaloid biosynthetic process,1,1
GO:0009852_auxin catabolic process,1,1
GO:0009853_photorespiration,1,1
GO:0009854_oxidative photosynthetic carbon pathway,1,1
GO:0009861_jasmonic acid and ethylene-dependent systemic resistance,1,1
"GO:0009866_induced systemic resistance, ethylene mediated signaling pathway",1,1
"GO:0009868_jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway",1,1
"GO:0009871_jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway",1,1
GO:0009900_dehiscence,1,1
GO:0009901_anther dehiscence,1,1
GO:0009902_chloroplast relocation,1,1
GO:0009920_cell plate formation involved in plant-type cell wall biogenesis,1,1
GO:0009937_regulation of gibberellic acid mediated signaling pathway,1,1
GO:0009938_negative regulation of gibberellic acid mediated signaling pathway,1,1
GO:0009943_adaxial/abaxial axis specification,1,1
GO:0009944_polarity specification of adaxial/abaxial axis,1,1
GO:0009945_radial axis specification,1,1
GO:0009958_positive gravitropism,1,1
GO:0009959_negative gravitropism,1,1
GO:0010020_chloroplast fission,1,1
GO:0010021_amylopectin biosynthetic process,1,1
GO:0010027_thylakoid membrane organization,1,1
GO:0010036_response to boron-containing substance,1,1
GO:0010037_response to carbon dioxide,1,1
GO:0010047_fruit dehiscence,1,1
GO:0010086_embryonic root morphogenesis,1,1
GO:0010088_phloem development,1,1
GO:0010091_trichome branching,1,1
GO:0010105_negative regulation of ethylene-activated signaling pathway,1,1
GO:0010109_regulation of photosynthesis,1,1
"GO:0010110_regulation of photosynthesis, dark reaction",1,1
GO:0010112_regulation of systemic acquired resistance,1,1
GO:0010113_negative regulation of systemic acquired resistance,1,1
GO:0010120_camalexin biosynthetic process,1,1
GO:0010135_ureide metabolic process,1,1
GO:0010136_ureide catabolic process,1,1
GO:0010182_sugar mediated signaling pathway,1,1
GO:0010187_negative regulation of seed germination,1,1
GO:0010188_response to microbial phytotoxin,1,1
GO:0010196_nonphotochemical quenching,1,1
GO:0010205_photoinhibition,1,1
GO:0010207_photosystem II assembly,1,1
GO:0010215_cellulose microfibril organization,1,1
GO:0010219_regulation of vernalization response,1,1
GO:0010220_positive regulation of vernalization response,1,1
GO:0010229_inflorescence development,1,1
GO:0010234_anther wall tapetum cell fate specification,1,1
GO:0010236_plastoquinone biosynthetic process,1,1
GO:0010239_chloroplast mRNA processing,1,1
GO:0010244_response to low fluence blue light stimulus by blue low-fluence system,1,1
GO:0010247_detection of phosphate ion,1,1
GO:0010254_nectary development,1,1
GO:0010258_NADH dehydrogenase complex (plastoquinone) assembly,1,1
GO:0010262_somatic embryogenesis,1,1
GO:0010264_myo-inositol hexakisphosphate biosynthetic process,1,1
GO:0010266_response to vitamin B1,1,1
GO:0010270_photosystem II oxygen evolving complex assembly,1,1
GO:0010271_regulation of chlorophyll catabolic process,1,1
GO:0010286_heat acclimation,1,1
GO:0010289_homogalacturonan biosynthetic process,1,1
GO:0010304_PSII associated light-harvesting complex II catabolic process,1,1
"GO:0010322_regulation of isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",1,1
GO:0010337_regulation of salicylic acid metabolic process,1,1
GO:0010338_leaf formation,1,1
GO:0010343_singlet oxygen-mediated programmed cell death,1,1
GO:0010361_regulation of anion channel activity by blue light,1,1
GO:0010362_negative regulation of anion channel activity by blue light,1,1
GO:0010392_galactoglucomannan metabolic process,1,1
GO:0010394_homogalacturonan metabolic process,1,1
GO:0010432_bract development,1,1
GO:0010433_bract morphogenesis,1,1
GO:0010434_bract formation,1,1
GO:0010447_response to acidic pH,1,1
GO:0010480_microsporocyte differentiation,1,1
GO:0010581_regulation of starch biosynthetic process,1,1
GO:0010597_green leaf volatile biosynthetic process,1,1
GO:0010731_protein glutathionylation,1,1
GO:0010815_bradykinin catabolic process,1,1
GO:0010830_regulation of myotube differentiation,1,1
GO:0010930_negative regulation of auxin mediated signaling pathway,1,1
GO:0014071_response to cycloalkane,1,1
GO:0014074_response to purine-containing compound,1,1
GO:0015669_gas transport,1,1
GO:0015671_oxygen transport,1,1
GO:0015690_aluminum cation transport,1,1
GO:0015696_ammonium transport,1,1
GO:0015708_silicic acid import across plasma membrane,1,1
GO:0015712_hexose phosphate transport,1,1
GO:0015713_phosphoglycerate transmembrane transport,1,1
GO:0015714_phosphoenolpyruvate transport,1,1
GO:0015717_triose phosphate transport,1,1
GO:0015727_lactate transport,1,1
GO:0015744_succinate transport,1,1
GO:0015746_citrate transport,1,1
GO:0015760_glucose-6-phosphate transport,1,1
GO:0015768_maltose transport,1,1
GO:0015780_nucleotide-sugar transmembrane transport,1,1
GO:0015786_UDP-glucose transmembrane transport,1,1
GO:0015791_polyol transport,1,1
GO:0015794_glycerol-3-phosphate transmembrane transport,1,1
GO:0015800_acidic amino acid transport,1,1
GO:0015802_basic amino acid transport,1,1
GO:0015819_lysine transport,1,1
GO:0015843_methylammonium transport,1,1
GO:0015853_adenine transport,1,1
GO:0015854_guanine transport,1,1
GO:0015866_ADP transport,1,1
GO:0015884_folic acid transport,1,1
GO:0015917_aminophospholipid transport,1,1
GO:0015969_guanosine tetraphosphate metabolic process,1,1
GO:0015977_carbon fixation,1,1
GO:0015995_chlorophyll biosynthetic process,1,1
GO:0016103_diterpenoid catabolic process,1,1
GO:0016104_triterpenoid biosynthetic process,1,1
GO:0016110_tetraterpenoid catabolic process,1,1
GO:0016117_carotenoid biosynthetic process,1,1
GO:0016118_carotenoid catabolic process,1,1
GO:0016121_carotene catabolic process,1,1
GO:0016122_xanthophyll metabolic process,1,1
GO:0016124_xanthophyll catabolic process,1,1
GO:0016139_glycoside catabolic process,1,1
GO:0016145_S-glycoside catabolic process,1,1
GO:0016318_ommatidial rotation,1,1
GO:0016579_protein deubiquitination,1,1
GO:0017000_antibiotic biosynthetic process,1,1
GO:0018149_peptide cross-linking,1,1
GO:0018160_peptidyl-pyrromethane cofactor linkage,1,1
GO:0018198_peptidyl-cysteine modification,1,1
GO:0018316_peptide cross-linking via L-cystine,1,1
GO:0018874_benzoate metabolic process,1,1
GO:0019218_regulation of steroid metabolic process,1,1
GO:0019244_lactate biosynthetic process from pyruvate,1,1
GO:0019249_lactate biosynthetic process,1,1
GO:0019253_reductive pentose-phosphate cycle,1,1
GO:0019264_glycine biosynthetic process from serine,1,1
GO:0019284_L-methionine salvage from S-adenosylmethionine,1,1
GO:0019285_glycine betaine biosynthetic process from choline,1,1
GO:0019323_pentose catabolic process,1,1
GO:0019359_nicotinamide nucleotide biosynthetic process,1,1
GO:0019363_pyridine nucleotide biosynthetic process,1,1
GO:0019369_arachidonic acid metabolic process,1,1
GO:0019374_galactolipid metabolic process,1,1
GO:0019375_galactolipid biosynthetic process,1,1
GO:0019388_galactose catabolic process,1,1
GO:0019406_hexitol biosynthetic process,1,1
GO:0019427_acetyl-CoA biosynthetic process from acetate,1,1
GO:0019430_removal of superoxide radicals,1,1
GO:0019441_tryptophan catabolic process to kynurenine,1,1
GO:0019464_glycine decarboxylation via glycine cleavage system,1,1
GO:0019478_D-amino acid catabolic process,1,1
"GO:0019481_L-alanine catabolic process, by transamination",1,1
GO:0019509_L-methionine salvage from methylthioadenosine,1,1
GO:0019516_lactate oxidation,1,1
GO:0019521_D-gluconate metabolic process,1,1
GO:0019566_arabinose metabolic process,1,1
GO:0019593_mannitol biosynthetic process,1,1
GO:0019594_mannitol metabolic process,1,1
GO:0019628_urate catabolic process,1,1
GO:0019674_NAD metabolic process,1,1
GO:0019676_ammonia assimilation cycle,1,1
GO:0019695_choline metabolic process,1,1
GO:0019740_nitrogen utilization,1,1
GO:0019742_pentacyclic triterpenoid metabolic process,1,1
GO:0019745_pentacyclic triterpenoid biosynthetic process,1,1
GO:0019755_one-carbon compound transport,1,1
GO:0019759_glycosinolate catabolic process,1,1
GO:0019762_glucosinolate catabolic process,1,1
"GO:0019918_peptidyl-arginine methylation, to symmetrical-dimethyl arginine",1,1
GO:0021536_diencephalon development,1,1
GO:0022900_electron transport chain,1,1
GO:0030004_cellular monovalent inorganic cation homeostasis,1,1
GO:0030007_cellular potassium ion homeostasis,1,1
GO:0030042_actin filament depolymerization,1,1
GO:0030091_protein repair,1,1
GO:0030104_water homeostasis,1,1
GO:0030150_protein import into mitochondrial matrix,1,1
GO:0030166_proteoglycan biosynthetic process,1,1
GO:0030224_monocyte differentiation,1,1
GO:0030225_macrophage differentiation,1,1
GO:0030308_negative regulation of cell growth,1,1
GO:0030317_flagellated sperm motility,1,1
GO:0030435_sporulation resulting in formation of a cellular spore,1,1
GO:0030490_maturation of SSU-rRNA,1,1
GO:0030493_bacteriochlorophyll metabolic process,1,1
GO:0030494_bacteriochlorophyll biosynthetic process,1,1
GO:0030497_fatty acid elongation,1,1
GO:0030505_inorganic diphosphate transport,1,1
GO:0030520_intracellular estrogen receptor signaling pathway,1,1
GO:0030834_regulation of actin filament depolymerization,1,1
GO:0030835_negative regulation of actin filament depolymerization,1,1
GO:0031098_stress-activated protein kinase signaling cascade,1,1
